"","X","CITY","STABBR","INSTNM","MAIN","INSTURL","PREDDEG","CONTROL","UGDS","ADM_RATE","SAT_AVG","ACTCMMID","TUITIONFEE_IN","TUITIONFEE_OUT","C150_4","LONGITUDE","LATITUDE"
"1770",1770,"Cincinnati","OH","University of Cincinnati-Main Campus",1,"www.uc.edu",3,1,23795,0.7578,1165,26,11000,26334,0.5956,-84.51428,39.131159
"1771",1771,"Cincinnati","OH","Cincinnati State Technical and Community College",1,"www.cincinnatistate.edu",2,1,8965,1,1061.44920634921,23.2588331963846,3825,7393,0.510104098765432,-84.535229,39.150569
"1772",1772,"Circleville","OH","Ohio Christian University",1,"www.ohiochristian.edu",3,2,3306,0.654,930,20,17720,17720,0.3185,-82.905986,39.610895
"1773",1773,"Cleveland","OH","Cleveland Institute of Art",1,"www.cia.edu",3,2,551,0.6699,1048,23,37565,37565,0.6505,-81.602121,41.50988
"1774",1774,"Cleveland","OH","Cleveland Institute of Music",1,"www.cim.edu",3,2,236,0.4389,1061.44920634921,23.2588331963846,46027,46027,0.6341,-81.608878,41.512444
"1775",1775,"Cleveland","OH","Cleveland State University",1,"www.csuohio.edu/",3,1,11308,0.8421,1014,22,9686,12928,0.393,-81.673052,41.502918
"1776",1776,"Columbus","OH","Bradford School",1,"www.bradfordschoolcolumbus.edu",2,3,443,1,1061.44920634921,23.2588331963846,13980,13980,0.510104098765432,-82.911152,40.023505
"1777",1777,"Columbus","OH","Columbus College of Art and Design",1,"WWW.CCAD.EDU",3,2,1193,0.8864,1044,22,30390,30390,0.5556,-82.988548,39.965767
"1778",1778,"Cleveland","OH","Cuyahoga Community College District",1,"www.tri-c.edu",2,1,14466,1,1061.44920634921,23.2588331963846,3136,7468,0.510104098765432,-81.66964,41.493981
"1779",1779,"Toledo","OH","Davis College",1,"www.daviscollege.edu",2,3,190,1,1061.44920634921,23.2588331963846,14130,14130,0.510104098765432,-83.629891,41.693064
"1780",1780,"Dayton","OH","University of Dayton",1,"https://www.udayton.edu",3,2,8305,0.5901,1194,27,37230,37230,0.7602,-84.173662,39.73686
"1781",1781,"Defiance","OH","Defiance College",1,"www.defiance.edu",3,2,801,0.6469,975,21,29916,29916,0.4862,-84.356596,41.300336
"1782",1782,"Granville","OH","Denison University",1,"www.denison.edu",3,2,2265,0.5553,1061.44920634921,23.2588331963846,45670,45670,0.8195,-82.520625,40.072582
"1783",1783,"Piqua","OH","Edison State Community College",1,"www.edisonOHIO.edu",2,1,1971,1,1061.44920634921,23.2588331963846,4219,7828,0.510104098765432,-84.212558,40.157997
"1784",1784,"Findlay","OH","The University of Findlay",1,"www.findlay.edu/",3,2,2767,0.7197,1035,23,30640,30640,0.5463,-83.652067,41.05441
"1785",1785,"Columbus","OH","Franklin University",1,"www.franklin.edu",3,2,4592,1,1061.44920634921,23.2588331963846,11161,11161,0.1364,-82.991825,39.958402
"1786",1786,"Cincinnati","OH","Gods Bible School and College",1,"www.gbs.edu",3,2,257,1,1061.44920634921,23.2588331963846,7010,7010,0.4286,-84.506036,39.115484
